EKI liik	EKI nimi	EKI kood	EKI väärtus	EKI keel	LEX nimi	LEX kood
etymkeel_tyyp	etymkeel_tyyp	kirikuladina	Church Latin	en	language	qam
etymkeel_tyyp	etymkeel_tyyp	kirikuslaavi	kirikusalaavi (vanaslaavi) keel	et	language	chu
etymkeel_tyyp	etymkeel_tyyp	kirikuslaavi	Old Church Slavonic	en	language	chu
etymkeel_tyyp	etymkeel_tyyp	komi	komi keel	et	language	kom
etymkeel_tyyp	etymkeel_tyyp	komi	Komi	en	language	kom
etymkeel_tyyp	etymkeel_tyyp	kongo	kongo keel	et	language	kon
etymkeel_tyyp	etymkeel_tyyp	kongo	Kongo	en	language	kon
etymkeel_tyyp	etymkeel_tyyp	kreeka	kreeka keel	et	language	ell
etymkeel_tyyp	etymkeel_tyyp	kreeka	Greek	en	language	ell
etymkeel_tyyp	etymkeel_tyyp	krii	krii keel	et	language	aem
etymkeel_tyyp	etymkeel_tyyp	krii	Krik	en	language	aem
etymkeel_tyyp	etymkeel_tyyp	krimmitatari	krimmitatari keel	et	language	crh
etymkeel_tyyp	etymkeel_tyyp	kõmri	kõmri keel	et	language	cym
etymkeel_tyyp	etymkeel_tyyp	kõmri	Welsh	en	language	cym
etymkeel_tyyp	etymkeel_tyyp	kõptšaki	kõptšaki keel	et	language	qwm
etymkeel_tyyp	etymkeel_tyyp	kõptšaki	Kipchak	en	language	qwm
etymkeel_tyyp	etymkeel_tyyp	ladina	ladina keel	et	language	lat
etymkeel_tyyp	etymkeel_tyyp	ladina	Latin	en	language	lat
etymkeel_tyyp	etymkeel_tyyp	leedu	leedu keel	et	language	lit
etymkeel_tyyp	etymkeel_tyyp	leedu	Lithuanian	en	language	lit
etymkeel_tyyp	etymkeel_tyyp	liivi	liivi keel	et	language	liv
etymkeel_tyyp	etymkeel_tyyp	liivi	Livonian	en	language	liv
etymkeel_tyyp	etymkeel_tyyp	liivi (Salatsi)	liivi keele Salatsi murre	et	language	qan
etymkeel_tyyp	etymkeel_tyyp	läti	läti keel	et	language	lav
etymkeel_tyyp	etymkeel_tyyp	läti	Latvian	en	language	lav
etymkeel_tyyp	etymkeel_tyyp	läänemeresoome	läänemeresoome	et	language	qao
etymkeel_tyyp	etymkeel_tyyp	läänemeresoome	Baltic-Finnic	en	language	qao
etymkeel_tyyp	etymkeel_tyyp	läänemeresoome-mordva	läänemeresoome-mordva	et	language	qap
etymkeel_tyyp	etymkeel_tyyp	läänemeresoome-permi	läänemeresoome-permi	et	language	qaq
etymkeel_tyyp	etymkeel_tyyp	läänemeresoome-saami	läänemeresoome-saami	et	language	qar
etymkeel_tyyp	etymkeel_tyyp	läänemeresoome-volga	läänemeresoome-volga	et	language	qas
etymkeel_tyyp	etymkeel_tyyp	lüüdi	lüüdi keel	et	language	lud
etymkeel_tyyp	etymkeel_tyyp	lüüdi	Lydian	en	language	lud
etymkeel_tyyp	etymkeel_tyyp	maaja	maaja keel	et	language	myn
etymkeel_tyyp	etymkeel_tyyp	maaja	Mayan	en	language	myn
etymkeel_tyyp	etymkeel_tyyp	malagassi	malagassi keel	et	language	mlg
etymkeel_tyyp	etymkeel_tyyp	malagassi	Malagasy	en	language	mlg
etymkeel_tyyp	etymkeel_tyyp	malai	malai keel	et	language	msa
etymkeel_tyyp	etymkeel_tyyp	malai	Malay	en	language	msa
etymkeel_tyyp	etymkeel_tyyp	malajalami	malajalami keel	et	language	mal
etymkeel_tyyp	etymkeel_tyyp	malajalami	Malayalam	en	language	mal
etymkeel_tyyp	etymkeel_tyyp	maldiivi	maldiivi keel	et	language	div
etymkeel_tyyp	etymkeel_tyyp	maldiivi	Dhivehi	en	language	div
etymkeel_tyyp	etymkeel_tyyp	mansi	mansi keel	et	language	mns
etymkeel_tyyp	etymkeel_tyyp	mansi	Mansi en	language	mns
etymkeel_tyyp	etymkeel_tyyp	maoori	maoori keel	et	language	mri
etymkeel_tyyp	etymkeel_tyyp	maoori	Maori	en	language	mri
etymkeel_tyyp	etymkeel_tyyp	mapudunguni	mapudunguni keel	et	language	arn
etymkeel_tyyp	etymkeel_tyyp	mapudunguni	Mapuche	en	language	arn
etymkeel_tyyp	etymkeel_tyyp	mari	mari keel	et	language	chm
etymkeel_tyyp	etymkeel_tyyp	mari	Mari	en	language	chm
etymkeel_tyyp	etymkeel_tyyp	meditsiiniladina	meditsiiniladina keelend	et	language	qat
etymkeel_tyyp	etymkeel_tyyp	meditsiiniladina	Medical Latin	en	language	qat
etymkeel_tyyp	etymkeel_tyyp	mikmaki	mikmaki keel	et	language	mic
etymkeel_tyyp	etymkeel_tyyp	mikmaki	Micmac	en	language	mic
etymkeel_tyyp	etymkeel_tyyp	mokša	mokša	et	language	mdf
etymkeel_tyyp	etymkeel_tyyp	mokša	Moksha	en	language	mdf
etymkeel_tyyp	etymkeel_tyyp	mongoli	mongoli keel	et	language	mon
etymkeel_tyyp	etymkeel_tyyp	mongoli	Mongolian	en	language	mon
etymkeel_tyyp	etymkeel_tyyp	mustlaskeel	mustlaskeel keel	et	language	rom
etymkeel_tyyp	etymkeel_tyyp	mustlaskeel	Romani	en	language	rom
etymkeel_tyyp	etymkeel_tyyp	nahua	nahua keel	et	language	nah
etymkeel_tyyp	etymkeel_tyyp	nahua	Nahuatl	en	language	nah
etymkeel_tyyp	etymkeel_tyyp	nama	nama (endise nimega hotentoti) keel	et	language	naq
etymkeel_tyyp	etymkeel_tyyp	nama	Khoekhoe (Nama, Hottentot)	en	language	naq
etymkeel_tyyp	etymkeel_tyyp	narraganseti	narraganseti keel	et	language	xnt
etymkeel_tyyp	etymkeel_tyyp	narraganseti	Narragansett	en	language	xnt
etymkeel_tyyp	etymkeel_tyyp	neenetsi	neenetsi keel	et	language	yrk
etymkeel_tyyp	etymkeel_tyyp	neenetsi	Nenets	en	language	yrk
etymkeel_tyyp	etymkeel_tyyp	negidali	negidali keel	et	language	neg
etymkeel_tyyp	etymkeel_tyyp	negidali Negidal	en	language	neg
etymkeel_tyyp	etymkeel_tyyp	nepaali	nepaali keel	et	language	nep
etymkeel_tyyp	etymkeel_tyyp	nepaali	Nepal	en	language	nep
etymkeel_tyyp	etymkeel_tyyp	nganassaani	nganassaani keel	et	language	nio
etymkeel_tyyp	etymkeel_tyyp	nganassaani	Nganassan	en	language	nio
etymkeel_tyyp	etymkeel_tyyp	norra	norra keel	et	language	nor
etymkeel_tyyp	etymkeel_tyyp	norra	Norwegian	en	language	nor
etymkeel_tyyp	etymkeel_tyyp	odžibvei	odžibvei keel	et	language	oji
etymkeel_tyyp	etymkeel_tyyp	odžibvei	Ojibwa	en	language	oji
