LEX nimi	LEX kood	LEX väärtus	LEX keel	LEX väärtuse liik
language	kat	gruusia	est	wordweb
language	kal	grööni	est	wordweb
language	kca	handi	est	wordweb
language	haw	havai	est	wordweb
language	heb	heebrea	est	wordweb
language	zho	hiina	est	wordweb
language	qah	hiliskreeka (2.-7. saj)	est	wordweb
language	qai	hilisladina	est	wordweb
language	hin	hindi	est	wordweb
language	spa	hispaania	est	wordweb
language	nld	hollandi	est	wordweb
language	ine	indoeuroopa	est	wordweb
language	ind	Indoneesia	est	wordweb
language	eng	inglise	est	wordweb
language	isl	islandi	est	wordweb
language	izh	isuri	est	wordweb
language	ita	itaalia	est	wordweb
language	jpn	jaapani	est	wordweb
language	yid	jidiši	est	wordweb
language	xas	kamassi	est	wordweb
language	car	kariibi	est	wordweb
language	krl	karjala	est	wordweb
language	kaz	kasahhi	est	wordweb
language	cat	katalaani	est	wordweb
language	dum	keskhollandi	est	wordweb
language	qaj	keskindia	est	wordweb
language	qaa	keskaja kreeka	est	wordweb
language	qak	keskaja ladina	est	wordweb
language	frm	keskprantsuse	est	wordweb
language	qal	keskpärsia	est	wordweb
language	gmh	keskülemsaksa	est	wordweb
language	que	ketšua	est	wordweb
language	kmb	kimbundu	est	wordweb
language	kir	kirgiisi	est	wordweb
language	qam	kirikuladina	est	wordweb
language	chu	kirikusalaavi (vanaslaavi)	est	wordweb
language	kom	komi	est	wordweb
language	kon	kongo	est	wordweb
language	ell	kreeka	est	wordweb
language	crh	krimmitatari	est	wordweb
language	cym	kõmri	est	wordweb
language	qwm	kõptšaki	est	wordweb
language	lat	ladina	est	wordweb
language	lit	leedu	est	wordweb
language	liv	liivi	est	wordweb
language	qan	liivi keele Salatsi murre	est	wordweb
language	lav	läti	est	wordweb
language	qao	läänemeresoome	est	wordweb
language	qap	läänemeresoome-mordva	est	wordweb
language	qaq	läänemeresoome-permi	est	wordweb
language	qar	läänemeresoome-saami	est	wordweb
language	qas	läänemeresoome-volga	est	wordweb
language	lud	lüüdi	est	wordweb
language	mlg	malagassi	est	wordweb
language	msa	malai	est	wordweb
language	mal	malajalami	est	wordweb
language	div	maldiivi	est	wordweb
language	mns	mansi	est	wordweb
language	mri	maoori	est	wordweb
language	chm	mari	est	wordweb
language	qat	meditsiiniladina	est	wordweb
language	mic	mikmaki	est	wordweb
language	mdf	mokša	est	wordweb
language	mon	mongoli	est	wordweb
language	nah	nahua	est	wordweb
language	naq	nama (endise nimega hotentoti)	est	wordweb
language	yrk	neenetsi	est	wordweb
language	nep	nepaali	est	wordweb
language	nio	nganassaani	est	wordweb
language	nor	norra	est	wordweb
language	oss	osseedi	est	wordweb
language	pol	poola	est	wordweb
language	por	portugali	est	wordweb
language	pim	pouhatani	est	wordweb
language	fra	prantsuse	est	wordweb
language	qau	provansi	est	wordweb
language	prg	preisi	est	wordweb
language	fas	pärsia	est	wordweb
language	qav	rahvaladina	est	wordweb
language	qbm	romaani keeled	est	wordweb
language	swe	rootsi	est	wordweb
language	ron	rumeenia	est	wordweb
language	qaw	saami	est	wordweb
language	smn	Inari saami	est	wordweb
language	sms	koltasaami	est	wordweb
language	smj	Lule saami	est	wordweb
language	sma	lõunasaami	est	wordweb
language	sje	Pite saami	est	wordweb
language	sjt	turjasaami	est	wordweb
language	deu	saksa	est	wordweb
language	srh	sarikoli	est	wordweb
language	qbn	semi keeled	est	wordweb
language	hbs	serbohorvaadi	est	wordweb
language	dak	siuu	est	wordweb
language	qbo	slaavi keeled	est	wordweb
language	slv	sloveeni	est	wordweb
language	fin	soome	est	wordweb
language	qac	soome-ugri	est	wordweb
language	swa	suahiili	est	wordweb
language	zul	suulu	est	wordweb
language	sel	sölkupi	est	wordweb
language	syr	süüria	est	wordweb
language	dan	taani	est	wordweb
language	tgk	tadžiki	est	wordweb
language	tgl	tagalogi	est	wordweb
language	tha	tai	est	wordweb
language	tnq	taino	est	wordweb
language	tam	tamili	est	wordweb
language	tat	tatari	est	wordweb
language	bod	tiibeti	est	wordweb
language	ton	tonga	est	wordweb
language	chg	tšagatai (vanausbeki)	est	wordweb
language	ces	tšehhi	est	wordweb
language	ckt	tšuktši	est	wordweb
language	chv	tšuvaši	est	wordweb
language	qax	tupi-guaranii	est	wordweb
language	qbj	turgi keeled	est	wordweb
language	tur	türgi	est	wordweb
language	udm	udmurdi	est	wordweb
language	uig	uiguuri	est	wordweb
language	ukr	ukraina	est	wordweb
language	hun	ungari	est	wordweb
language	urd	urdu	est	wordweb
language	qay	uurali	est	wordweb
