EKI liik	EKI nimi	EKI kood	EKI väärtus	EKI keel	LEX nimi	LEX kood
vk_tyyp	vk_tyyp	os	singular partitiiv, ainsuse osastav	et	display_morph	os
vk_tyyp	vk_tyyp	os	singular partitive	en	display_morph	os
vk_tyyp	vk_tyyp	keskv	komparatiiv, keskvõrre	et	display_morph	keskv
vk_tyyp	vk_tyyp	keskv	comparative (degree)	en	display_morph	keskv
vk_tyyp	vk_tyyp	üliv	superlatiiv, ülivõrre	et	display_morph	üliv
vk_tyyp	vk_tyyp	üliv	superlative (degree)	en	display_morph	üliv
vk_tyyp	vk_tyyp	kesks	partitsiip, kesksõna	et	display_morph	kesks
vk_tyyp	vk_tyyp	kesks	participle	en	display_morph	kesks
vk_tyyp	vormikood	ger	gerundiiv, des-vorm	et	display_morph	ger
vk_tyyp	vormikood	impers	impersonaal, umbisikuline tegumood	et	display_morph	impers
vk_tyyp	vormikood	impers	impersonal	en	display_morph	impers
vk_tyyp	vormikood	partits	partitsiip, kesksõna	et	display_morph	partits
vk_tyyp	vormikood	partits	participle	en	display_morph	partits
vk_tyyp	vormikood	pl	pluural, mitmus	et	display_morph	pl
vk_tyyp	vormikood	pl	plural	en	display_morph	pl
vk_tyyp	vormikood	sg	singular, ainsus	et	display_morph	sg
vk_tyyp	vormikood	sg	singular	en	display_morph	sg
vk_tyyp	vormikood	sg gen	singular genitiiv, ainsuse omastav	et	display_morph	sg gen
vk_tyyp	vormikood	sg gen	singular genitiv	en	display_morph	sg gen
vk_tyyp	vormikood	ssv	seisundivorm	et	display_morph	ssv
vn_tyyp	muutevormi nimi	ID	muutumatu	et	morph	ID
vn_tyyp	muutevormi nimi	SgN	ainsuse nimetav	et	morph	SgN
vn_tyyp	muutevormi nimi	SgN	SgN	en	morph	SgN
vn_tyyp	muutevormi nimi	SgG	ainsuse omastav	et	morph	SgG
vn_tyyp	muutevormi nimi	SgP	ainsuse osastav	et	morph	SgP
vn_tyyp	muutevormi nimi	SgAdt	ainsuse suunduv	et	morph	SgAdt
vn_tyyp	muutevormi nimi	SgIll	ainsuse sisseütlev	et	morph	SgIll
vn_tyyp	muutevormi nimi	SgIn	ainsuse seesütlev	et	morph	SgIn
vn_tyyp	muutevormi nimi	SgEl	ainsuse seestütlev	et	morph	SgEl
vn_tyyp	muutevormi nimi	SgAll	ainsuse alaleütlev	et	morph	SgAll
vn_tyyp	muutevormi nimi	SgAd	ainsuse alalütlev	et	morph	SgAd
vn_tyyp	muutevormi nimi	SgAbl	ainsuse alaltütlev	et	morph	SgAbl
vn_tyyp	muutevormi nimi	SgTr	ainsuse saav	et	morph	SgTr
vn_tyyp	muutevormi nimi	SgTer	ainsuse rajav	et	morph	SgTer
vn_tyyp	muutevormi nimi	SgEs	ainsuse olev	et	morph	SgEs
vn_tyyp	muutevormi nimi	SgAb	ainsuse ilmaütlev	et	morph	SgAb
vn_tyyp	muutevormi nimi	SgKom	ainsuse kaasaütlev	et	morph	SgKom
vn_tyyp	muutevormi nimi	PlN	mitmuse nimetav	et	morph	PlN
vn_tyyp	muutevormi nimi	PlG	mitmuse omastav	et	morph	PlG
vn_tyyp	muutevormi nimi	PlP	mitmuse osastav	et	morph	PlP
vn_tyyp	muutevormi nimi	PlAdt	mitmuse aditiiv	et	morph	PlAdt
vn_tyyp	muutevormi nimi	PlIll	mitmuse sisseütlev	et	morph	PlIll
vn_tyyp	muutevormi nimi	PlIn	mitmuse seesütlev	et	morph	PlIn
vn_tyyp	muutevormi nimi	PlEl	mitmuse seestütlev	et	morph	PlEl
vn_tyyp	muutevormi nimi	PlAll	mitmuse alaleütlev	et	morph	PlAll
vn_tyyp	muutevormi nimi	PlAd	mitmuse alalütlev	et	morph	PlAd
vn_tyyp	muutevormi nimi	PlAbl	mitmuse alaltütlev	et	morph	PlAbl
vn_tyyp	muutevormi nimi	PlTr	mitmuse saav	et	morph	PlTr
vn_tyyp	muutevormi nimi	PlTer	mitmuse rajav	et	morph	PlTer
vn_tyyp	muutevormi nimi	PlEs	mitmuse olev	et	morph	PlEs
vn_tyyp	muutevormi nimi	PlAb	mitmuse ilmaütlev	et	morph	PlAb
vn_tyyp	muutevormi nimi	PlKom	mitmuse kaasaütlev	et	morph	PlKom
vn_tyyp	muutevormi nimi	Sup	MA = ma-tegevusnimi	et	morph	Sup
vn_tyyp	muutevormi nimi	Inf	DA = da-tegevusnimi	et	morph	Inf
vn_tyyp	muutevormi nimi	IndPrSg3	B = kindla kv oleviku ainsuse 3. p	et	morph	IndPrSg3
vn_tyyp	muutevormi nimi	IndPrPl1	ME = kindla kv oleviku mitmuse 1. p	et	morph	IndPrPl1
vn_tyyp	muutevormi nimi	PtsPtIps	TUD = tud-kesksõna	et	morph	PtsPtIps
vn_tyyp	muutevormi nimi	IndIpfSg3	S = lihtmineviku ainsuse 3. p	et	morph	IndIpfSg3
vn_tyyp	muutevormi nimi	PtsPtPs	NUD = nud-kesksõna	et	morph	PtsPtPs
vn_tyyp	muutevormi nimi	ImpPrPl2	GE = käskiva kv mitmuse 2. p	et	morph	ImpPrPl2
vn_tyyp	muutevormi nimi	IndPrIps	TAKSE = umbisikulise tm olevik	et	morph	IndPrIps
vn_tyyp	muutevormi nimi	PtsPrIps	TAV = tav-kesksõna	et	morph	PtsPrIps
vn_tyyp	muutevormi nimi	IndPrPsN	POLE = kindla kv oleviku eitus	et	morph	IndPrPsN
vn_tyyp	muutevormi nimi	IndIpfPsN	POLNUD = kindla kv mineviku eitus	et	morph	IndIpfPsN
vn_tyyp	muutevormi nimi	Neg	EI = eitus	et	morph	Neg
